                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2459,                  2.927,                  1.526,                0.03275,                0.28881,                0.19502,                0.13321,                 1.4577,                 3.5468,                 1.5168,              0.0002875,              0.0002875,              0.0002875
                      2,                 1.1403,                 1.6564,                 1.3948,                0.84956,                0.19379,                0.22268,                0.15658,                 1.5071,                 3.0896,                  1.568,             0.00058556,             0.00058556,             0.00058556
                      3,                 1.1077,                 1.4042,                 1.3618,                0.79141,                0.21606,                0.25609,                0.17286,                 1.4826,                 2.7182,                  1.567,             0.00088164,             0.00088164,             0.00088164
                      4,                 1.1007,                 1.2929,                 1.3544,                0.76279,                0.17328,                 0.2189,                0.12704,                 1.6761,                 2.6317,                 1.7646,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.1033,                 1.2025,                 1.3574,                0.61257,                0.30082,                0.30163,                0.18148,                 1.5776,                 2.1412,                  1.653,              0.0012335,              0.0012335,              0.0012335
                      6,                  1.079,                 1.1298,                 1.3375,                0.79364,                0.21533,                 0.2638,                0.16298,                 1.5367,                 2.1017,                 1.5515,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.0702,                  1.063,                 1.3318,                0.66119,                0.36329,                0.41023,                0.23324,                 1.4538,                  1.579,                 1.5512,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.0541,                 1.0117,                 1.3288,                0.45268,                0.41361,                0.40593,                 0.2359,                 1.5144,                 1.5517,                 1.5778,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.0382,                0.97113,                 1.3114,                0.61793,                0.51307,                0.54633,                0.31542,                 1.3929,                 1.4448,                 1.4853,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.0234,                0.92739,                 1.3021,                0.50815,                0.59766,                0.56542,                0.30346,                 1.4687,                 1.3757,                 1.5603,               0.001217,               0.001217,               0.001217
                     11,                 1.0097,                0.90421,                 1.2892,                0.64182,                0.58573,                0.61199,                0.35976,                 1.3534,                 1.1572,                 1.4634,              0.0012129,              0.0012129,              0.0012129
                     12,                0.99948,                0.87911,                 1.2795,                0.62448,                0.65571,                0.66752,                0.38902,                 1.3278,                 1.1142,                 1.4531,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.0025,                 0.8903,                 1.2838,                0.59956,                0.52206,                0.54996,                0.31474,                  1.406,                 1.1636,                 1.5373,              0.0012046,              0.0012046,              0.0012046
                     14,                0.99032,                0.86077,                  1.276,                 0.7316,                0.62988,                0.65246,                0.36986,                 1.3503,                 1.1326,                 1.4489,              0.0012005,              0.0012005,              0.0012005
                     15,                0.98605,                0.85631,                 1.2778,                0.71061,                0.56963,                0.64241,                0.37144,                 1.3495,                 1.1504,                 1.4531,              0.0011964,              0.0011964,              0.0011964
                     16,                0.97889,                0.82906,                 1.2716,                0.67087,                0.58198,                0.67325,                 0.3814,                  1.323,                 1.1389,                 1.4463,              0.0011922,              0.0011922,              0.0011922
                     17,                0.96937,                0.83156,                 1.2612,                0.61415,                 0.7029,                0.65755,                0.37034,                  1.438,                 1.2372,                 1.5613,              0.0011881,              0.0011881,              0.0011881
                     18,                0.97666,                0.82421,                 1.2648,                0.65874,                 0.6164,                0.64723,                0.38827,                 1.3532,                 1.2597,                 1.4624,               0.001184,               0.001184,               0.001184
                     19,                  0.957,                 0.8031,                 1.2534,                0.71221,                0.48928,                0.57606,                0.33229,                 1.3517,                 1.0996,                 1.4439,              0.0011799,              0.0011799,              0.0011799
                     20,                0.96048,                0.78444,                 1.2517,                0.67368,                0.66007,                0.70034,                0.40916,                 1.2997,                 1.0002,                 1.4149,              0.0011757,              0.0011757,              0.0011757
                     21,                0.95323,                0.78589,                  1.261,                0.71731,                 0.6406,                0.63982,                0.39078,                 1.3016,                 1.0129,                 1.4127,              0.0011716,              0.0011716,              0.0011716
                     22,                0.94613,                0.77319,                 1.2431,                0.75554,                0.57964,                0.64321,                0.37768,                 1.2868,                 1.0109,                 1.4115,              0.0011675,              0.0011675,              0.0011675
                     23,                0.94146,                0.76973,                 1.2429,                0.71892,                0.49967,                 0.6031,                0.35207,                  1.306,                 1.0761,                 1.3972,              0.0011634,              0.0011634,              0.0011634
                     24,                0.92533,                0.76083,                 1.2349,                0.73426,                0.59705,                0.64066,                0.36956,                 1.2913,                0.98082,                 1.3831,              0.0011593,              0.0011593,              0.0011593
                     25,                0.91659,                0.74228,                 1.2247,                0.54347,                 0.6298,                0.61273,                 0.3723,                 1.3121,                 1.0146,                 1.4199,              0.0011551,              0.0011551,              0.0011551
                     26,                0.92436,                0.73833,                 1.2269,                0.60642,                0.63949,                0.61659,                0.37923,                 1.3229,                 1.0099,                 1.4334,               0.001151,               0.001151,               0.001151
                     27,                0.91022,                0.73096,                 1.2306,                0.63005,                0.57717,                0.62842,                0.37701,                 1.3248,                 1.0683,                 1.4425,              0.0011469,              0.0011469,              0.0011469
                     28,                0.92633,                0.75257,                 1.2352,                0.69372,                0.71731,                0.72013,                0.40461,                 1.2958,                0.97702,                 1.3909,              0.0011428,              0.0011428,              0.0011428
                     29,                0.91819,                0.73067,                 1.2244,                0.76207,                0.62489,                0.69982,                0.42412,                 1.2579,                0.96139,                 1.3572,              0.0011386,              0.0011386,              0.0011386
                     30,                0.90381,                0.70729,                 1.2148,                 0.7015,                0.63263,                0.67874,                0.41711,                  1.255,                0.96413,                 1.3686,              0.0011345,              0.0011345,              0.0011345
                     31,                0.91179,                0.72325,                  1.226,                0.66737,                0.67419,                0.69823,                0.42905,                 1.2767,                0.90314,                 1.3993,              0.0011304,              0.0011304,              0.0011304
                     32,                0.90936,                0.73016,                 1.2205,                0.65162,                 0.6616,                0.65905,                0.40861,                 1.2937,                0.97281,                 1.4016,              0.0011263,              0.0011263,              0.0011263
                     33,                0.90782,                0.71307,                 1.2155,                0.69607,                0.69217,                0.71336,                0.41783,                 1.2649,                0.92628,                  1.363,              0.0011221,              0.0011221,              0.0011221
                     34,                0.89235,                  0.703,                 1.2102,                0.66586,                0.57266,                0.63764,                0.38642,                 1.2729,                0.94423,                 1.3688,               0.001118,               0.001118,               0.001118
                     35,                0.89336,                0.69643,                 1.2053,                0.68058,                0.65759,                0.69702,                0.43094,                 1.2394,                0.85028,                 1.3469,              0.0011139,              0.0011139,              0.0011139
                     36,                0.88756,                 0.6921,                 1.2013,                 0.6879,                 0.7589,                0.73283,                0.43704,                 1.2641,                0.92557,                 1.3884,              0.0011098,              0.0011098,              0.0011098
                     37,                0.88479,                0.68936,                 1.1994,                0.64496,                0.68276,                0.68168,                0.40554,                 1.2528,                0.94628,                 1.3581,              0.0011056,              0.0011056,              0.0011056
                     38,                0.88239,                0.68486,                 1.2021,                0.76076,                0.52924,                0.61446,                 0.3887,                 1.2145,                0.90923,                 1.3343,              0.0011015,              0.0011015,              0.0011015
                     39,                0.87945,                0.68606,                  1.201,                0.58524,                0.69652,                0.68611,                0.42079,                 1.2681,                0.89934,                  1.374,              0.0010974,              0.0010974,              0.0010974
                     40,                0.87707,                 0.6931,                 1.2024,                0.67009,                0.71338,                0.70362,                0.45196,                 1.2464,                0.88555,                 1.3647,              0.0010933,              0.0010933,              0.0010933
                     41,                0.87237,                0.67193,                 1.1951,                0.72501,                0.66901,                0.69586,                0.44231,                 1.2696,                0.82292,                 1.3756,              0.0010891,              0.0010891,              0.0010891
                     42,                0.86934,                0.66876,                 1.1949,                0.70927,                0.61869,                0.68967,                 0.4287,                 1.2746,                0.90189,                 1.3766,               0.001085,               0.001085,               0.001085
                     43,                0.87839,                0.67348,                 1.1993,                0.61364,                0.70679,                0.66866,                0.40631,                 1.2647,                0.95252,                 1.3693,              0.0010809,              0.0010809,              0.0010809
                     44,                0.86431,                0.66451,                 1.1853,                0.65677,                0.70966,                0.67094,                0.38819,                  1.274,                0.89119,                 1.3729,              0.0010768,              0.0010768,              0.0010768
                     45,                0.87138,                0.66197,                 1.1904,                0.66888,                0.64065,                0.64247,                0.38806,                 1.2483,                0.88921,                 1.3568,              0.0010726,              0.0010726,              0.0010726
                     46,                 0.8673,                0.65661,                 1.1843,                0.70146,                0.64849,                0.65753,                0.41384,                 1.2224,                0.85404,                 1.3479,              0.0010685,              0.0010685,              0.0010685
                     47,                0.86396,                 0.6551,                 1.1867,                0.73467,                0.67832,                0.67008,                0.40838,                 1.2633,                0.93203,                 1.3831,              0.0010644,              0.0010644,              0.0010644
                     48,                0.84613,                  0.646,                 1.1771,                0.71082,                0.71746,                0.70634,                0.44003,                 1.2335,                0.84133,                  1.343,              0.0010603,              0.0010603,              0.0010603
